scenario_type,scheduler_type,seed,tt_rate_mult,tt_deadline,dynamic_config_id,cnt_staleness,cnt_failure_rate,cnt_noise_id,mission_count,experiment,tt_miss_rate,rc_miss_rate,be_miss_rate,tt_misses,rc_misses,be_misses,tt_total,rc_total,be_total,jain_index,mean_utilization,mean_worst_tt_aos,max_worst_tt_aos,mean_sched_time,median_sched_time,p95_sched_time,max_sched_time
scale_6,TwinSync,1001,1.0,3.0,none,0,0.0,none,6,D,0.0,0.0,0.0701168614357262,0,0,42,600,774,599,0.9882087813953288,61.657946370176575,-2.69,-2.0,1.4552749980794032e-05,1.4770500456506852e-05,2.0006249542348083e-05,2.2791999981564004e-05
scale_6,TwinSync,1002,1.0,3.0,none,0,0.0,none,6,D,0.0,0.0,0.1008547008547008,0,0,59,607,796,585,0.9936417284126686,61.21648136036625,-2.67,-2.0,1.4812055005677394e-05,1.4332999853650108e-05,2.021220002461632e-05,3.2498999644303694e-05
scale_6,FIFO,1000,1.0,3.0,none,0,0.0,none,6,D,0.1433333333333333,0.0278481012658227,0.0,86,22,0,600,790,609,0.9773738419429254,62.52452583387834,-0.03,1.0,1.0228195005765885e-05,1.0062500223284587e-05,1.404409977112664e-05,1.7750000552041456e-05
scale_6,FIFO,1001,1.0,3.0,none,0,0.0,none,6,D,0.1116666666666666,0.0090439276485788,0.0,67,7,0,600,774,599,0.9787523649736024,62.58992805755396,-0.365,1.0,9.790739954951278e-06,9.31249996938277e-06,1.354520004497317e-05,2.762500025710324e-05
scale_6,FIFO,1002,1.0,3.0,none,0,0.0,none,6,D,0.1532125205930807,0.028894472361809,0.0,93,23,0,607,796,585,0.9775004360600108,61.93590582079791,-0.015,1.0,1.0469039957570202e-05,1.0000000202126104e-05,1.3429449563773228e-05,4.145699949731352e-05
scale_6,RoundRobin,1000,1.0,3.0,none,0,0.0,none,6,D,0.8016666666666666,0.7291139240506329,0.722495894909688,481,576,440,600,790,609,0.9471099010265278,12.965990843688688,0.905,1.0,3.487635044621129e-06,3.3125002119049896e-06,5.671100552717688e-06,1.0916000064753462e-05
scale_6,RoundRobin,1001,1.0,3.0,none,0,0.0,none,6,D,0.8083333333333333,0.7325581395348837,0.7228714524207012,485,567,433,600,774,599,0.9175641664430902,12.49182472204055,0.925,1.0,3.269134958827635e-06,3.228999958082568e-06,5.71219966332137e-06,7.167000148911029e-06
scale_6,RoundRobin,1002,1.0,3.0,none,0,0.0,none,6,D,0.7775947281713345,0.7324120603015075,0.7504273504273504,472,583,439,607,796,585,0.9342336486844324,12.589928057553957,0.915,1.0,3.322450011182809e-06,3.3340002119075507e-06,5.7080496389971815e-06,7.499999810534064e-06
balanced,TwinSync,1000,1.0,3.0,none,0,0.0,none,2,D,0.0,0.0,0.0018484288354898,0,0,1,398,800,541,0.9999996527548692,218.4375,-3.0,-3.0,1.8663925043256317e-05,2.045800010819221e-05,2.5434750386921217e-05,3.0500000320898835e-05
balanced,TwinSync,1001,1.0,3.0,none,0,0.0,none,2,D,0.0,0.0,0.0108695652173913,0,0,6,408,800,552,0.9999986288541196,219.25,-3.0,-3.0,1.8242650016873087e-05,2.00414997379994e-05,2.631185066093166e-05,4.42080008724588e-05
balanced,TwinSync,1002,1.0,3.0,none,0,0.0,none,2,D,0.0,0.0,0.0219378427787934,0,0,12,411,800,547,0.999999656811435,218.6875,-3.0,-3.0,1.6754980019868527e-05,1.654149991736631e-05,2.479199979461555e-05,3.2625000130792614e-05
balanced,FIFO,1000,1.0,3.0,none,0,0.0,none,2,D,0.0,0.0,0.0,0,0,0,398,800,541,0.9999836470976936,225.125,-1.93,0.0,4.995359995518811e-06,4.91700029670028e-06,6.004150191074585e-06,9.749999662744813e-06
balanced,FIFO,1001,1.0,3.0,none,0,0.0,none,2,D,0.0073529411764705,0.0,0.0,3,0,0,408,800,552,0.9999447562574162,227.8125,-1.475,1.0,6.142404981801519e-06,5.208000402490143e-06,7.677400299144207e-06,7.541600007243687e-05
balanced,FIFO,1002,1.0,3.0,none,0,0.0,none,2,D,0.0097323600973236,0.0,0.0,4,0,0,411,800,547,0.9999048822086284,226.5625,-1.275,1.0,5.52227005300665e-06,5.375000000640284e-06,7.339250214499768e-06,1.141600023402134e-05
balanced,RoundRobin,1000,1.0,3.0,none,0,0.0,none,2,D,0.4120603015075377,0.33625,0.5841035120147874,164,269,316,398,800,541,0.9922913518860986,111.5,0.47,1.0,5.233099973338539e-06,5.041499662183924e-06,6.881249601065062e-06,1.3499000488081949e-05
balanced,RoundRobin,1001,1.0,3.0,none,0,0.0,none,2,D,0.446078431372549,0.335,0.5652173913043478,182,268,312,408,800,552,0.99283230129782,112.375,0.52,1.0,5.193924966988561e-06,5.04200033901725e-06,7.4642993695306335e-06,1.0541999472479802e-05
balanced,RoundRobin,1002,1.0,3.0,none,0,0.0,none,2,D,0.4476885644768856,0.335,0.5886654478976234,184,268,322,411,800,547,0.9921904943282588,111.4375,0.415,1.0,5.123455007378653e-06,4.999999873689376e-06,6.961000508454162e-06,1.262400019186316e-05
asymmetric,TwinSync,1000,1.0,3.0,none,0,0.0,none,2,D,0.0,0.0,0.8984375,0,0,230,271,338,256,0.988041132749021,67.64285714285714,-2.92,-2.0,1.2692330005847908e-05,1.3041499641985864e-05,1.5511549372604345e-05,2.808299996104324e-05
asymmetric,TwinSync,1001,1.0,3.0,none,0,0.0,none,2,D,0.0,0.0,0.8960573476702509,0,0,250,264,327,279,0.988764331210191,65.57142857142857,-2.92,-2.0,1.3150679978934932e-05,1.3790999219054356e-05,1.5841299500607416e-05,1.874999998108251e-05
