scenario,config,scheduler,mean_tt_miss,std_tt_miss,mean_rc_miss,mean_be_miss,mean_worst_tt_aos,mean_utilization
asymmetric,B1-a,FIFO,0.9292139264379665,0.03120989096882982,0.6342237680840505,0.0,0.9227333333333333,74.53238095238095
asymmetric,B1-a,RoundRobin,0.4215874233458013,0.00850436498732044,0.47511475529579744,0.958422498657838,0.04173333333333334,35.53523809523809
asymmetric,B1-b,TwinSync,0.0,0.0,0.0,0.9579960723695883,-2.9180000000000015,66.95809523809523
asymmetric,B1-b,FIFO,0.9273011698061918,0.032297151681055555,0.6248115509284874,0.0,0.9224666666666665,74.35333333333332
asymmetric,B1-b,RoundRobin,0.4257101456030481,0.008855642799794446,0.47283056727366035,0.9579960723695883,0.04173333333333334,35.36666666666666
asymmetric,B1-c,TwinSync,0.0,0.0,0.0,0.9577845491784228,-2.9180000000000015,66.76761904761904
asymmetric,B1-c,FIFO,0.9261146594118439,0.03288321941297818,0.6201070792735034,0.0,0.9223333333333332,74.26857142857142
asymmetric,B1-c,RoundRobin,0.4266365303091796,0.008825432414164697,0.4705765267507366,0.9577845491784228,0.03306666666666667,35.35142857142856
asymmetric,B1-d,TwinSync,0.0,0.0,0.0,0.9591890857537021,-2.9180000000000015,68.10380952380952
asymmetric,B1-d,FIFO,0.9348415643603304,0.02890473894079536,0.6519288649335693,0.0,0.9236,74.83142857142859
asymmetric,B1-d,RoundRobin,0.4270768694505499,0.008312723749442714,0.4767749127184168,0.9591890857537021,0.08166666666666665,35.77904761904761
asymmetric,B1-e,TwinSync,0.0,0.0,0.0,0.958422498657838,-2.9180000000000015,67.31714285714285
asymmetric,B1-e,FIFO,0.9292139264379665,0.03120989096882982,0.6342237680840505,0.0,0.9227333333333333,74.53238095238095
asymmetric,B1-e,RoundRobin,0.4215874233458013,0.00850436498732044,0.47511475529579744,0.958422498657838,0.04173333333333334,35.53523809523809
asymmetric,B2-phase,TwinSync,0.0,0.0,0.0020063189045296066,0.8973603069074895,-2.9266000000000005,66.31333333333333
asymmetric,B2-phase,FIFO,0.8572737916266853,0.02830816137760874,0.647742937003196,0.0,0.19459999999999997,70.57333333333332
asymmetric,B2-phase,RoundRobin,0.4288348771815348,0.00895896154624628,0.4756450173905646,0.9374531516396176,-0.08439999999999999,34.18666666666665
asymmetric,B3-correlated,TwinSync,0.0,0.0,0.0007365135046367967,0.9603946194323771,-2.9180000000000015,69.24190476190476
asymmetric,B3-correlated,FIFO,0.9405737846414637,0.02623574525594619,0.6800658492375017,0.0,0.9250666666666665,75.37714285714286
asymmetric,B3-correlated,RoundRobin,0.42955119825747184,0.007882193945018575,0.48427665836345707,0.960394619432377,0.14753333333333335,36.00571428571427
artemis,B1-a,TwinSync,0.0,0.0,0.00083702652773658,0.22525209443470948,-2.775999999999999,103.29966666666665
artemis,B1-a,FIFO,0.41765507131770635,0.011178103037905208,0.21864696519629914,0.0,0.9280666666666667,103.45266666666666
artemis,B1-a,RoundRobin,0.8072995240616888,0.0049520555879408535,0.785600885887965,0.7758753234809833,0.9698666666666667,22.542333333333335
artemis,B1-b,TwinSync,0.0,0.0,0.00025273288609574,0.22246088760154817,-2.775999999999999,102.39399999999999
artemis,B1-b,FIFO,0.41848380050606676,0.011121904224061107,0.21415851435326116,0.0,0.9280666666666667,102.57533333333335
artemis,B1-b,RoundRobin,0.8066431336719625,0.005258587163087477,0.7845723856319933,0.7758137592023077,0.9698666666666667,22.330666666666666
artemis,B1-c,TwinSync,0.0,0.0,0.00012577399768652666,0.22083771259402302,-2.775999999999999,101.95933333333333
artemis,B1-c,FIFO,0.4202104136843298,0.011015751195620399,0.21174713660142178,0.0,0.9280666666666667,102.15233333333335
artemis,B1-c,RoundRobin,0.8057028796979891,0.00540955641253398,0.7842271958713366,0.7753735127465702,0.9688,22.259333333333334
artemis,B1-d,TwinSync,0.0,0.0,0.00097141019585164,0.23122191185306207,-2.775999999999999,105.17266666666666
artemis,B1-d,FIFO,0.41444989913850355,0.008466482422878558,0.22785754485509663,0.0,0.9301333333333335,105.21466666666666
artemis,B1-d,RoundRobin,0.7982195422167278,0.005263271164404151,0.7766833616795344,0.7942980135163294,0.9684666666666667,22.331666666666667
artemis,B1-e,TwinSync,0.0,0.0,0.00083702652773658,0.22525209443470948,-2.775999999999999,103.37200000000001
artemis,B1-e,FIFO,0.4157196111743345,0.011326558656803994,0.21864696519629914,0.0,0.9280666666666667,103.525
artemis,B1-e,RoundRobin,0.8081952354930102,0.0049197681944788225,0.785600885887965,0.7758753234809833,0.9698666666666667,22.542333333333335
artemis,B2-phase,TwinSync,0.0,0.0,0.009724198652452823,0.23889175236497645,-2.786266666666667,98.027
artemis,B2-phase,FIFO,0.42038234949545406,0.01085334910748548,0.23847235217912494,0.0,0.19866666666666666,97.62833333333334
artemis,B2-phase,RoundRobin,0.8255051537274721,0.004632786277758653,0.8099485859866801,0.7768336539508394,0.8585999999999999,20.16133333333333
artemis,B3-correlated,TwinSync,0.0,0.0,0.005664149269467811,0.24169663576532582,-2.775999999999999,107.27499999999999
artemis,B3-correlated,FIFO,0.4406877886995815,0.01425293084432349,0.23961942255852645,0.00013117256685631998,0.9297333333333333,107.14333333333333
artemis,B3-correlated,RoundRobin,0.8043881449553609,0.004750924172380401,0.7856322161510305,0.789255261024426,0.9698666666666665,22.931333333333335
