scenario_type,scheduler_type,seed,tt_rate_mult,tt_deadline,dynamic_config_id,cnt_staleness,cnt_failure_rate,cnt_noise_id,mission_count,experiment,tt_miss_rate,rc_miss_rate,be_miss_rate,tt_misses,rc_misses,be_misses,tt_total,rc_total,be_total,jain_index,mean_utilization,mean_worst_tt_aos,max_worst_tt_aos,mean_sched_time,median_sched_time,p95_sched_time,max_sched_time
balanced,FIFO,1025,1.0,3.0,B1-b,0,0.0,none,0,B,0.0241206030150753,0.0,0.0,24,0,0,995,2000,1357,0.9999662462005372,224.75,-1.532,1.0,5.601436005235882e-06,5.333000444807112e-06,7.957999514474068e-06,1.2124999557272533e-05
balanced,FIFO,1026,1.0,3.0,B1-b,0,0.0,none,0,B,0.0048732943469785,0.0,0.0,5,0,0,1026,2000,1349,0.9998676563571322,225.475,-1.024,1.0,6.205169991517323e-06,6.416999895009212e-06,8.041049977691727e-06,1.6417000551882666e-05
balanced,FIFO,1027,1.0,3.0,B1-b,0,0.0,none,0,B,0.0,0.0,0.0,0,0,0,1013,2000,1354,0.9999768760424788,226.875,-1.908,0.0,5.434115993921296e-06,5.33299953531241e-06,6.792000021960121e-06,1.7208999452122953e-05
balanced,FIFO,1028,1.0,3.0,B1-b,0,0.0,none,0,B,0.0019230769230769,0.0,0.0,2,0,0,1040,2000,1348,0.9999974493431746,226.875,-1.732,1.0,5.448765990877291e-06,5.33299953531241e-06,7.083050149958581e-06,1.3792000572721008e-05
balanced,FIFO,1029,1.0,3.0,B1-b,0,0.0,none,0,B,0.0126705653021442,0.0,0.0,13,0,0,1026,2000,1348,0.9999696726222757,226.225,-1.658,1.0,5.732117993829888e-06,5.3544999900623225e-06,8.086050002020782e-06,2.0708000192826148e-05
balanced,FIFO,1000,1.0,3.0,B1-c,0,0.0,none,0,B,0.0,0.0,0.0,0,0,0,1016,2000,1358,0.9999911301891936,226.775,-1.762,1.0,5.562288004512084e-06,5.3754997679789085e-06,7.292000191227999e-06,1.4709000424772968e-05
balanced,FIFO,1001,1.0,3.0,B1-c,0,0.0,none,0,B,0.0049407114624505,0.0,0.0,5,0,0,1012,2000,1367,0.9999320780347912,227.35,-1.756,1.0,5.549483988943393e-06,5.2915002015652135e-06,7.667000318178907e-06,1.675099974818295e-05
balanced,FIFO,1002,1.0,3.0,B1-c,0,0.0,none,0,B,0.0080482897384305,0.0,0.0,8,0,0,994,2000,1380,0.9998934373511082,227.85,-1.402,1.0,5.8587120020092695e-06,5.625000085274223e-06,7.712200294918145e-06,3.174999983457383e-05
balanced,FIFO,1003,1.0,3.0,B1-c,0,0.0,none,0,B,0.0109343936381709,0.0,0.0,11,0,0,1006,2000,1317,0.999994616767692,223.5,-1.944,1.0,5.4909420032345225e-06,5.124999916006345e-06,7.921150381662297e-06,3.1583999771100935e-05
balanced,FIFO,1004,1.0,3.0,B1-c,0,0.0,none,0,B,0.001031991744066,0.0,0.0,1,0,0,969,2000,1361,0.9999786066237316,225.95,-1.596,1.0,5.667301984431105e-06,5.416999556473456e-06,7.210100193333345e-06,4.166700000496349e-05
balanced,FIFO,1005,1.0,3.0,B1-c,0,0.0,none,0,B,0.004803073967339,0.0,0.0,5,0,0,1041,2000,1321,0.999906528685202,224.275,-0.986,1.0,6.201938002050156e-06,6.250000296859071e-06,7.960100401760426e-06,1.3792000572721008e-05
balanced,FIFO,1006,1.0,3.0,B1-c,0,0.0,none,0,B,0.0,0.0,0.0,0,0,0,1034,2000,1324,0.999952439836393,224.775,-2.172,1.0,5.1677479859790765e-06,4.874999831372406e-06,6.624999559790012e-06,2.2750000425730832e-05
balanced,FIFO,1007,1.0,3.0,B1-c,0,0.0,none,0,B,0.0090180360721442,0.0,0.0,9,0,0,998,2000,1331,0.999957836151284,224.175,-1.614,1.0,5.668504016284714e-06,5.458500254462706e-06,7.916049935374758e-06,2.9584000003524125e-05
balanced,FIFO,1008,1.0,3.0,B1-c,0,0.0,none,0,B,0.0,0.0,0.0,0,0,0,994,2000,1321,0.9999986560580548,223.8,-2.34,0.0,4.981107989806333e-06,4.791999344888609e-06,6.458049938373733e-06,1.6167000467248727e-05
balanced,FIFO,1009,1.0,3.0,B1-c,0,0.0,none,0,B,0.0231213872832369,0.0,0.0,24,0,0,1038,2000,1335,1.0,225.275,-1.322,1.0,5.832098024256993e-06,5.500500265043229e-06,8.209000043279957e-06,1.5999999959603883e-05
balanced,FIFO,1010,1.0,3.0,B1-c,0,0.0,none,0,B,0.0,0.0,0.0,0,0,0,1008,2000,1306,0.9999973585330004,222.775,-2.428,0.0,4.834772007598076e-06,4.729500233224826e-06,5.791999683424365e-06,1.4041999747860244e-05
balanced,FIFO,1011,1.0,3.0,B1-c,0,0.0,none,0,B,0.0,0.0,0.0,0,0,0,1032,2000,1343,0.9999359455488012,226.375,-1.78,1.0,5.38384595165553e-06,5.249999958323315e-06,7.00005052749475e-06,1.5333000192185864e-05
balanced,FIFO,1012,1.0,3.0,B1-c,0,0.0,none,0,B,0.0,0.0,0.0,0,0,0,985,2000,1343,0.999995665762898,225.075,-2.14,0.0,5.231589982940932e-06,5.124999916006345e-06,6.749999556632247e-06,1.5209000594040845e-05
balanced,FIFO,1013,1.0,3.0,B1-c,0,0.0,none,0,B,0.015015015015015,0.0,0.0,15,0,0,999,2000,1331,0.999999138678936,224.175,-2.234,1.0,5.233842006418854e-06,4.957999863108853e-06,7.792000360495877e-06,1.5416999303852208e-05
